palabras,deportes,salud,politica
fiscal,0,0,16
historia,25,0,0
cierre,0,21,0
cádiz,0,0,11
primer,15,0,0
socialista,0,0,11
league,17,0,0
cáncer,0,15,0
pp,0,0,26
grupo,0,20,0
florentino,18,0,0
tenía,12,0,0
órganos,0,13,0
siete,0,14,0
derechos,0,0,11
tribunal,0,0,14
millones,16,0,18
carrera,33,0,0
victoria,14,0,0
espacios,0,15,0
pedro,0,0,16
presidenta,0,0,13
españa,23,34,32
equipo,60,0,0
través,0,14,0
relación,0,0,13
líder,0,0,18
justicia,0,0,12
forma,18,14,12
protección,0,16,14
kroos,14,0,0
necesidad,0,13,0
personas,0,57,0
vida,20,0,0
queda,0,20,0
democracia,0,0,11
nivel,16,18,0
locales,0,14,0
consejo,0,0,21
haya,0,0,11
mayo,0,17,0
pasado,35,24,16
moncloa,0,0,14
mejores,17,0,0
jugador,26,0,0
tuvo,16,0,0
temporada,36,0,0
liga,12,0,0
casos,0,34,15
cambio,12,0,0
mascarilla,0,22,0
general,0,0,22
menor,0,0,12
mclaren,16,0,0
covid,0,57,15
hostelería,0,20,0
edad,0,18,0
vacuna,0,37,0
fórmula,13,0,0
centros,0,13,0
situación,0,14,10
investigación,0,13,0
competición,19,0,0
díaz,0,0,18
casado,0,0,21
secretario,0,0,10
grandes,16,0,0
cosas,16,0,0
fuera,12,0,10
formación,0,0,12
ahora,40,21,20
hoy,14,0,0
tipo,0,21,0
ministra,0,0,16
tres,30,15,29
aforo,0,15,0
manera,0,14,0
ramos,16,0,0
fútbol,37,0,0
barcelona,19,0,0
ley,0,0,38
mejor,45,0,0
sigue,15,0,0
nuevo,14,18,14
tenido,0,0,11
rival,15,0,0
sanidad,0,27,0
fuentes,0,0,16
diciembre,0,0,11
medio,12,0,0
madrid,50,37,33
puntos,21,0,0
mayor,0,21,0
san,0,0,12
nueva,0,14,11
zonas,0,13,0
última,16,0,0
población,0,36,0
interior,0,14,0
países,0,21,10
ayuso,0,0,13
título,13,0,0
gol,14,0,0
gran,26,0,0
virus,0,22,0
ciudadanos,0,18,0
país,0,20,25
psoe,0,0,22
política,0,0,17
seis,0,13,0
euros,15,0,33
cuenta,0,0,11
público,0,0,12
tratamiento,0,15,0
región,0,16,0
vez,38,0,22
balón,14,0,0
proyecto,0,0,12
dar,14,0,0
primera,25,14,13
deporte,22,0,0
manuel,0,0,11
messi,12,0,0
comunidad,0,44,0
marzo,0,13,0
agentes,0,0,15
cómo,13,0,0
vacunas,0,30,0
presupuestos,0,0,12
vacunación,0,38,0
ministros,0,0,16
momento,27,0,0
acuerdo,0,14,18
datos,0,24,0
ejecutivo,0,0,15
jugadores,22,0,0
seguridad,0,0,13
difícil,12,0,0
partidos,12,0,0
supremo,0,0,11
medidas,0,34,12
familia,12,0,0
pochettino,15,0,0
vasco,0,0,12
presidente,16,0,24
mundial,18,0,0
nacional,0,0,15
muerte,14,0,0
montero,0,0,11
congreso,0,0,18
actual,0,0,13
sanitarios,0,13,0
todavía,12,0,0
sistema,0,13,14
portavoz,0,0,11
octubre,0,0,14
futbolista,18,0,0
alonso,13,0,0
popular,0,0,13
ganar,23,0,0
pacientes,0,19,0
española,0,13,0
noviembre,0,0,12
personal,0,0,11
nuevos,0,0,11
marco,0,0,11
pudo,12,0,0
lunes,0,14,19
ferrari,19,0,0
real,40,0,0
benzema,20,0,0
psg,25,0,0
cataluña,0,13,0
haber,15,0,0
metros,0,0,12
mayores,0,16,0
generales,0,0,13
coronavirus,0,19,0
europea,0,15,0
horas,15,26,0
comunidades,0,29,0
año,58,12,15
juego,29,0,0
meses,0,17,17
semana,0,51,16
años,67,29,41
pandemia,0,24,0
bares,0,16,0
electoral,0,0,15
total,0,19,0
entrenador,21,0,0
partido,49,0,30
respecto,0,0,10
riesgo,0,27,13
autónomas,0,19,0
ministerio,0,16,28
medida,0,14,0
caso,14,35,14
champions,25,0,0
hospital,0,17,0
piloto,16,0,0
enfermedad,0,16,0
pese,12,0,0
días,22,44,18
franco,0,0,12
club,28,0,0
posible,0,16,0
mundo,26,14,0
español,20,0,0
sánchez,0,0,20
dosis,0,53,0
mascarillas,0,35,0
partir,0,23,0
restricciones,0,17,0
productos,0,14,0
después,41,22,0
ver,24,0,0
astrazeneca,0,16,0
últimos,17,18,0
embargo,0,20,0
día,28,19,15
dio,15,0,0
quien,16,0,0
izquierda,0,0,14
pilotos,12,0,0
salud,0,61,0
pablo,0,0,11
durante,27,26,0
parte,22,24,23
final,31,0,0
casa,12,0,0
gobierno,0,32,77
decisión,0,15,13
positivo,14,0,0
mantiene,0,14,0
minutos,16,0,0
reforma,0,0,16
número,0,20,10
problemas,16,0,0
hecho,20,19,16
